year,county_name,urbanicity,region,division,pop_category,population,prison_population
1970,Alameda County,urban,West,Pacific,Total,696319,NA
1971,Alameda County,urban,West,Pacific,Total,708356,NA
1972,Alameda County,urban,West,Pacific,Total,725516,NA
1973,Alameda County,urban,West,Pacific,Total,724581,NA
1974,Alameda County,urban,West,Pacific,Total,732867,NA
1975,Alameda County,urban,West,Pacific,Total,737518,NA
1976,Alameda County,urban,West,Pacific,Total,749276,NA
1977,Alameda County,urban,West,Pacific,Total,755234,NA
1978,Alameda County,urban,West,Pacific,Total,761474,NA
1979,Alameda County,urban,West,Pacific,Total,761949,NA
1980,Alameda County,urban,West,Pacific,Total,771268,NA
1981,Alameda County,urban,West,Pacific,Total,784641,NA
1982,Alameda County,urban,West,Pacific,Total,794325,NA
1983,Alameda County,urban,West,Pacific,Total,807653,1897
1984,Alameda County,urban,West,Pacific,Total,820633,2021
1985,Alameda County,urban,West,Pacific,Total,833690,2285
1986,Alameda County,urban,West,Pacific,Total,846249,2605
1987,Alameda County,urban,West,Pacific,Total,854301,3104
1988,Alameda County,urban,West,Pacific,Total,868145,3675
1989,Alameda County,urban,West,Pacific,Total,880564,3718
1990,Alameda County,urban,West,Pacific,Total,893705,3761
1991,Alameda County,urban,West,Pacific,Total,896633,3804
1992,Alameda County,urban,West,Pacific,Total,905440,3863
1993,Alameda County,urban,West,Pacific,Total,905948,3987
1994,Alameda County,urban,West,Pacific,Total,904792,4236
1995,Alameda County,urban,West,Pacific,Total,906566,4325
1996,Alameda County,urban,West,Pacific,Total,914648,4713
1997,Alameda County,urban,West,Pacific,Total,935240,4873
1998,Alameda County,urban,West,Pacific,Total,960308,5046
1999,Alameda County,urban,West,Pacific,Total,980847,5144
2000,Alameda County,urban,West,Pacific,Total,1001712,5401
2001,Alameda County,urban,West,Pacific,Total,1020661,5210
2002,Alameda County,urban,West,Pacific,Total,1017808,5165
2003,Alameda County,urban,West,Pacific,Total,1013418,4832
2004,Alameda County,urban,West,Pacific,Total,1009491,4845
2005,Alameda County,urban,West,Pacific,Total,1008446,4866
2006,Alameda County,urban,West,Pacific,Total,1013204,4878
