number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
1,Half-Life 2,2004-11-16,9.99,"10,000,000 .. 20,000,000",Valve,Valve,110,66,96,2004
3,Counter-Strike: Source,2004-11-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,236,128,88,2004
21,Counter-Strike: Condition Zero,2004-03-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,10,3,65,2004
47,Half-Life 2: Deathmatch,2004-11-01,4.99,"5,000,000 .. 10,000,000",Valve,Valve,0,0,NA,2004
36,Half-Life: Source,2004-06-01,9.99,"2,000,000 .. 5,000,000",Valve,Valve,0,0,NA,2004
52,CS2D,2004-12-24,NA,"1,000,000 .. 2,000,000",Unreal Software,Unreal Software,16,10,NA,2004
2,Unreal Tournament 2004: Editor's Choice Edition,2004-03-16,14.99,"500,000 .. 1,000,000","Epic Games, Inc.","Epic Games, Inc.",0,0,93,2004
4,DOOM 3,2004-08-03,4.99,"500,000 .. 1,000,000",id Software,id Software,0,0,87,2004
14,Beyond Divinity,2004-04-27,5.99,"500,000 .. 1,000,000",Larian Studios,Larian Studios,0,0,73,2004
40,Hitman: Contracts,2004-04-20,8.99,"500,000 .. 1,000,000",Io-Interactive A/S,Io-Interactive A/S,0,0,NA,2004
9,Gish,2004-05-04,9.99,"200,000 .. 500,000",Cryptic Sea,Chronic Logic,0,0,80,2004
17,Neighbours from Hell Compilation,2004-02-20,9.99,"200,000 .. 500,000",JoWooD Vienna,THQ Nordic,0,0,69,2004
43,"STAR WARS Battlefront (Classic, 2004)",2004-09-21,9.99,"200,000 .. 500,000",Pandemic Studios,"Lucasfilm, LucasArts, Disney",0,0,NA,2004
49,Jagged Alliance 2 - Wildfire,2004-03-08,6.99,"200,000 .. 500,000",I-deal Games,Topware Interactive,371,270,NA,2004
53,Painkiller: Black Edition,2004-04-12,9.99,"200,000 .. 500,000",People Can Fly,THQ Nordic,0,0,NA,2004
5,Silent Storm Gold Edition,2004-09-09,9.99,"100,000 .. 200,000",Nival,THQ Nordic,0,0,83,2004
12,Soldiers: Heroes of World War II,2004-06-29,4.99,"100,000 .. 200,000",Best Way,1C Entertainment,0,0,77,2004
18,Sherlock Holmes: The Silver Earring,2004-09-30,9.99,"100,000 .. 200,000",Frogwares,Frogwares,0,0,68,2004
26,World War II: Panzer Claws,2004-01-14,4.99,"100,000 .. 200,000",NA,Topware Interactive,250,181,61,2004
31,Marine Sharpshooter II: Jungle Warfare,2004-06-22,2.99,"100,000 .. 200,000",Jarhead Games,Funbox Media Ltd,0,0,52,2004
34,SuperPower 2 Steam Edition,2004-10-11,9.99,"100,000 .. 200,000",GolemLabs,THQ Nordic,0,0,NA,2004
20,Dark Fall 2: Lights Out,2004-08-24,4.99,"50,000 .. 100,000",Darkling Room,THQ Nordic,0,0,66,2004
24,Aura: Fate of the Ages,2004-06-24,4.99,"50,000 .. 100,000",Streko Graphics,THQ Nordic,0,0,63,2004
39,Guilty Gear X2 #Reload,2004-07-23,9.99,"50,000 .. 100,000",Arc System Works,Arc System Works,0,0,NA,2004
42,Platypus,2004-06-02,6.99,"50,000 .. 100,000",Idigicon,KISS ltd,0,0,NA,2004
